,Name,Currency,Price
196,"Kenya Kenyan Home Moving Away Homesick Sweatshirt, Funny Sweater Shirt, Birthday Gifts for Men and Women",Ksh,4158.7
198,"Kenyan Shirt, African Shirt, Men Shirts, Handmade Shirt, Traditional Shirt, Men Occasion Shirts, African Print Shirt,Hand woven shirts Woven",Ksh,3315.0
199,Kenya Set of Stickers for Laptop Book Water Bottle Fridge Guitar Motorcycle Helmet ToolBox Door PC Boat,Ksh,1066.0
200,"The Kenya Cookery and Household Guide, St. Andrew's Church Woman's Guild, Nairobi, Kenya. 13th Edition, 1979, Heinemann Educational Nairobi.",Ksh,5850.0
201,"Kenya Crewneck, Kenya Jersey, Kenya tshirt, Kenya gifts, Kenya shirt, Kenya t shirt, Kenya fans gift, Kenya game, Kenya world cup",Ksh,3646.5
202,"Kenya T-shirt, Kenya is calling and i must go shirt Mens Womens Gift - 4040",Ksh,3682.8999999999996
203,"Kenya Wall Art, Nairobi Canvas Print, Nairobi Painting, Kenya Canvas Art",Ksh,10266.1
204,"Mount Kenya Poster, National Park Print, Kenya Travel Poster, Africa Art Gift Illustration, African Safari, Kilimanjaro, Hiking Trek Print",Ksh,4271.8
205,Africa Kenya Wildlife Lion Reflection Travel  Photograph,Ksh,1950.0
207,"Solid Ebony Woman sculpture,Kenyan handcurved coffee table top statue, African Pretty woman sculpture,Women size burst.",Ksh,351000.0
208,"African Maasai Throw Blanket , African Maasai Shuka, African Print Fabric, Kenyan Kikoy  Baby Shawl Wrap, Picnic Blanket Christmas gifts",Ksh,2730.0
209,"Sling bag, African bag, beaded sling bag, best gift for her, handmade bag, leather bag, women bag, Kenyan bag",Ksh,4680.0
210,"Kenya flag bracelets , patriotic kenya bracelets , maasai beaded bracelets , wholesale bracelets ,gift for her/him , beaded bracelets",Ksh,3510.0
211,TUSKER Kenya Beer Jersey T Shirt (Unisex),Ksh,2990.0
212,"African beaded bracelets, Zulu Bracelets, Maasai Wrist bracelets, Beaded Cuff bracelets, Women jewelry, Christmas gift for her, Moms gift",Ksh,1170.0
213,18K Gold Plated Kenya Map Charm & Chain • Kenya Map Outline Charm Necklace • Gift Jewellery For Birthday Wedding Christmas,Ksh,2511.6
214,"Kenya Decals Waterproof Stickers Pack of 14 - Kenyan Culture, Chapati, Nairobi, Kenyan Gift, Kenyan Souvenir",Ksh,2080.0
215,Africa Map Outline Pendant Necklace • Africa Map With Kenya Small Map Charm • 18K Gold Plated Stainless Steel • Gift Jewelry For Him Her,Ksh,2511.6
216,"African Maasai Beaded Flyswatter, Collectors Item, Gift for Him or Her, Masai Mara, Kenya",Ksh,14300.0
217,"US to Kenya Print, Watercolor Map Poster, Kenyan Gift, US Wall Art, Moving Abroad Gift, C23-95",Ksh,3114.8
218,"Giraffe, Digital Download, Kenya, Masai Mara, Wildlife Photo, Travel Photo, Decorative Wall Art, Animal Portrait, Fine Art, High Resolution",Ksh,752.7
219,"Personalized Mount Kenya Travel Print - Mount Kenya poster, Africa Wall Art, Framed present, Gift Africa Present",Ksh,1553.5
220,Kenyan Women's Kenyan Flag Cool Graphics T-shirt - Design By BRYK.,Ksh,3606.2
221,"Kenya outline SVG PNG, Kenya Cursive Vector File, Africa svg, African country svg, Kenya shape svg, Kenya silhouette svg, Kenya stencil png.",Ksh,527.8
222,"African Beaded Leather sandals, Beaded leather sandals, Kenyan sandals, African safari sandals, Christmas gifts for her, gift idea",Ksh,2600.0
223,"Nairobi Vintage Map Print, Nairobi Poster Print, Old Map of Nairobi| Historical Map Poster, Kenya Gifts",Ksh,12745.2
224,"Kilifi Travel Wall Art, Kenya Painting Gifts, Africa Home Decor, Digital Prints Posters, Printable Handmade Art, Kenyan Canvas Download",Ksh,755.3
225,East African countries Flag beaded bracelets Kenya Uganda Tanzania Somalia Mauritius Somaliland Djibouti Eritrea Ethiopia Rwanda Burundi,Ksh,1536.6000000000001
227,"Kenya Flag Metal License Plate Frame, Personalized Kenyan Car Accessory, Custom KE Flag Gift",Ksh,2533.7
228,"Tote Bag of Maasai Women in Her Tribal Jewelry, PhotoShatts Printed Photo, Bag for Shopping, Travel, Hold Everything, Gift for Accessories",Ksh,2600.0
